offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
921734970,4,True,2900,blok,25.0,2,300.0,"ul. Katowicka 2, Poznań",52.4005435,16.9618744
921725488,4,True,2100,blok,25.0,1,250.0,"ul. Katowicka 2, Poznań",52.4005435,16.9618744
921723519,-1,False,4900,kamienica,156.0,4,500.0,"ul. Langiewicza, Poznań",52.3871695,16.9191492
921722671,4,True,2500,blok,32.0,2,300.0,"ul. Katowicka 2, Poznań",52.4005435,16.9618744
921722386,4,True,3000,blok,59.0,3,800.0,"Osiedle Rzeczypospolitej 102, Poznań",52.38565879999999,16.9509507
921715641,1,True,1700,blok,25.0,1,430.0,"Oś. Piastowskie, Poznań",52.3923867,16.9479765
887692350,3,True,2000,pozostale,35.0,1,330.0,"ul. Wybickiego, Wilda, Poznań",52.3903952,16.9194863
721890264,2,True,2600,blok,48.0,2,650.0,"ul. Dąbrowskiego 80, Poznań",52.4137454,16.8981269
918301838,0,True,1800,kamienica,33.13,1,,"ul. Wyspiańskiego 15/1, Łazarz, Poznań",52.3983639,16.8982188
903874640,1,True,2900,blok,49.0,2,500.0,"ul. Wołkowyska 26, Poznań",52.3982637,16.9698584
681484388,1,True,2500,blok,35.0,2,550.0,"Poznań, ul. Jana Henryka Dąbrowskiego 80",52.4137454,16.8981269
921681388,9,True,2600,blok,76.9,3,1000.0,"Osiedle Bolesława Śmiałego, Poznań",52.4502392,16.9240843
921681328,4,True,2800,blok,70.0,3,1000.0,"Naramowice, Poznań",52.44639489999999,16.9537315
915126555,1,True,2500,blok,64.0,3,800.0,"Os. Zygmunta Starego 13, Poznań",52.45962189999999,16.911669
915260118,3,True,2400,kamienica,55.0,2,480.0,"ulica Sczaniecka, Łazarz, Poznań",52.3948664,16.8960384
921675521,1,True,3100,apartamentowiec,56.07,2,680.0,"ul. Kazimierza Wielkiego, Poznań",52.4017827,16.9391556
901072225,5,True,2400,apartamentowiec,30.0,1,500.0,"Poznań, Zwierzyniecka Street",52.4085739,16.9071966
851511460,0,True,2650,apartamentowiec,40.0,2,556.76,"ul. Świerzawska, Poznań",52.4029635,16.8610345
921656561,4,True,2250,apartamentowiec,54.0,2,1210.0,"os. Rzeczypospolitej 1, 61-397 Poznań",52.3880986,16.9472976
921654494,2,True,1150,blok,9.5,4,1150.0,"ul. Przybyszewskiego, Poznań",52.4093658,16.8887118
921652863,2,True,2200,blok,56.0,3,610.0,"ul. Bielicowa, Poznań - Naramowice",52.44639489999999,16.9537315
803338801,1,True,2700,blok,67.0,3,300.0,"ul. Janiny Omańkowskiej 87a, Poznań",52.4568798,16.8948589
921650783,4,True,2600,blok,45.0,2,670.0,"ul. Jeleniogórska, Poznań",52.3926255,16.8461367
921629754,1,True,2800,blok,50.0,2,800.0,"ul. Kasprzaka, Poznań",52.39177,16.8940718
921626310,6,False,3300,apartamentowiec,58.0,3,950.0,"Poznań, ATANER Świerzawska 4",52.40322099999999,16.861103
921602358,10,True,2300,blok,46.0,2,700.0,"Osiedle Kosmonautów, Poznań",52.438344,16.9404392
889579857,1,True,1600,kamienica,30.0,1,50.0,"Jeżyce, Poznań",52.432479,16.8515452
921599591,2,True,2100,blok,58.0,2,650.0,"ul. Bolka 15, Poznań",52.4534336,16.9458069
921588320,4,True,2500,apartamentowiec,48.0,2,,"ul. Saperska, Poznań",52.3799398,16.9185269
921576451,1,True,1700,apartamentowiec,32.0,1,490.0,"Os. Polanka II, ul. Katowicka, Poznań",52.39631929999999,16.9653729
748059741,2,True,2200,kamienica,36.0,1,550.0,"ul. Dąbrowskiego, Poznań",52.4256768,16.8604453
870474497,6,True,2190,apartamentowiec,38.5,2,,"Poznań, Inflancka 20",52.3922207,16.9685532
921554578,3,True,5600,kamienica,150.0,4,0.1,"ul. Taczaka, Poznań",52.4054818,16.9222843
921552139,4,True,1700,kamienica,30.0,1,0.1,"ul. Rolna 19, Poznań",52.38292939999999,16.9172721
921549892,3,True,2600,apartamentowiec,48.0,2,630.0,"ul. Jeleniogórska, Poznań",52.3926255,16.8461367
866456083,2,True,2200,blok,43.0,2,550.0,"ul. Karpia, Poznań",52.443512,16.9576832
784818183,1,True,2650,blok,50.5,2,790.0,"ul. Międzychodzka, Grunwald, Poznań",52.4055787,16.8777025
921542519,2,True,3250,blok,63.0,3,1000.0,"ul. Czesława Niemena 7, Poznań",52.3963865,16.9603053
601894220,1,True,2350,apartamentowiec,33.0,1,580.0,"ul. Różana, Wilda, Poznań",52.3976202,16.9242534
900908205,5,True,3500,kamienica,50.0,2,500.0,"Poznań, ul. Jana Matejki",52.401359,16.8998915
735705864,4,True,1850,kamienica,27.0,1,560.0,"ul. Garbary, Poznań",52.408363,16.9380651
921505742,8,True,2000,blok,31.0,1,475.0,"os. Kopernika, Poznań",52.3850984,16.863386
914726166,2,False,1500,szeregowiec,32.0,1,570.0,"ul. Katowicka, Poznań",52.3979359,16.9650293
914726033,5,True,1700,blok,36.1,1,572.0,"Centrum, Poznań",52.4093634,16.9317991
622029202,2,True,1750,blok,16.0,1,,"Poznań, brak informacji o dokładnym adresie",52.406374,16.9251681
921501944,2,True,2500,kamienica,75.0,3,300.0,"Blisko Dworca Zachodniego, Poznań",52.4018244,16.9102129
921495516,3,True,3300,apartamentowiec,55.6,2,595.0,"Poznań, ul. Dolna Wilda, kompleks Vilda Park",52.396679,16.9345499
921486584,0,True,1500,blok,25.0,1,150.0,"ul. Kalinowa, Poznań",52.3675016,16.9031802
919609263,2,True,2650,kamienica,47.3,2,650.0,"ul. Kościelna, Poznań",52.4156214,16.905643
915527614,3,False,2200,blok,47.5,3,2200.0,"Os.Kosmonautów, Poznań",52.4369753,16.9414383
796084122,2,True,2583,apartamentowiec,45.48,3,444.0,"ul. Słupska 45E, Poznań",52.4383831,16.8083772
921471101,4,True,1800,blok,38.6,2,530.0,"os. Przyjaźni, Winogrady, Poznań",52.4299458,16.9221228
921369209,1,True,1800,blok,38.0,2,502.0,"ul. Szamotulska, Poznań",52.4103335,16.8834461
918466718,,False,2400,blok,55.0,2,680.0,"ul. Rycerska, Poznań",52.4019761,16.8758918
921450172,3,True,2700,apartamentowiec,40.0,2,520.0,"Poznań, ul. Świerzawska 11, GRUNWALD",52.4023929,16.8611109
726284714,0,True,2500,apartamentowiec,34.0,2,580.0,"ul. Kościelna 17, Poznań",52.4143374,16.904868
921444006,1,True,3300,apartamentowiec,74.0,3,1525.0,"ul. Św. Czesława 8, Wilda, Poznań",52.39740519999999,16.9233938
921435176,1,True,2700,apartamentowiec,34.31,2,550.0,"ul. Gąsiorowskich 4, Poznań",52.3991272,16.9070988
921434107,1,True,2300,blok,32.0,2,500.0,"Rynek Łazarski, Łazarz, Poznań",52.3946923,16.9006895
675531037,2,True,1990,kamienica,45.0,2,580.0,"ul. Limanowskiego 12, Grunwald - Górn, Poznań",52.3974725,16.8982609
921431944,9,True,2500,blok,29.0,1,500.0,"ul. Świerzawska, Poznań",52.4029635,16.8610345
913942668,3,True,1700,blok,33.0,1,700.0,"Poznań, Jasielska",52.4439585,16.893797
921428877,8,True,2500,blok,40.0,2,600.0,"Piątkowo, Poznań",52.4532369,16.911301
920068183,0,True,2300,blok,48.0,2,700.0,"ul. Pobiedziska, Poznań",52.4059593,16.9960631
921425322,4,False,1800,kamienica,32.44,1,550.0,"ul. Matejki i Niegolewskich, Poznań",52.401359,16.8998915
921412123,1,True,2000,kamienica,22.0,1,375.0,"ulica Matejki, Poznań",52.401359,16.8998915
889816517,3,True,3500,blok,86.7,3,750.0,Poznań,52.406374,16.9251681
921404546,2,True,2200,blok,59.0,2,820.0,"ulica Górna Wilda, Poznań",52.3966091,16.9246551
621242915,1,True,2900,apartamentowiec,82.0,3,600.0,"Okolice Oś Kopernika, Poznań",52.3850984,16.863386
921403747,1,True,2400,szeregowiec,50.0,2,450.0,"Junikowo, Poznań",52.3860287,16.8421254
921390452,2,True,1900,kamienica,28.0,1,600.0,"ul. Dąbrowskiego 54, Poznań",52.4123867,16.9030325
906210117,4,True,2900,apartamentowiec,45.0,2,732.0,"ul. Chwaliszewo/ Estkowskiego, Poznań",52.4097778,16.9437669
919859600,0,False,1300,pozostale,22.0,1,,"ul. Niegolewskich, Poznań",52.3958981,16.8979631
909148124,0,True,3600,blok,96.0,4,594.0,"ul. Marcelińska, Poznań",52.4044612,16.878942
912304290,2,True,1800,blok,41.0,1,422.0,"ul. Grunwaldzka, Poznań",52.384267,16.8375488
815719175,2,True,1750,kamienica,26.0,1,650.0,"43rd Jackowskiego Street, Poznań",52.4101537,16.8965467
921372570,,True,1980,kamienica,21.0,1,,"ul. Wierzbięcice, Poznań",52.3961918,16.921311
785548882,1,False,3200,szeregowiec,75.0,3,0.01,"Daszewice, Poznań",52.2999729,16.9571816
921360876,3,True,3200,blok,50.0,3,782.0,"ul. Błażeja 9, Poznań",52.4555499,16.943796
921360385,3,True,2500,blok,36.0,2,482.0,"ulica Błażeja 9, Poznań",52.4555499,16.943796
921353261,1,True,3500,blok,60.0,3,450.0,"ul. Milczańska, Poznań",52.3909293,16.9655045
914976211,2,True,500,apartamentowiec,60.0,3,1.0,"ul. Gdyńska, Poznań",52.4565514,16.9842152
921348472,1,True,1749,apartamentowiec,31.0,2,,"ul. Druskienicka 4, Poznań",52.4424033,16.8871646
909542842,2,True,2700,kamienica,38.0,2,,"Poznań, ul. Poznańska 50",52.41405289999999,16.9101552
915494198,1,True,1900,blok,34.0,1,535.0,"ul. Polanka, Poznań",52.3996257,16.9582066
905551055,3,True,1800,kamienica,24.0,1,490.0,"ul. Świętego Wawrzyńca, Jeżyce, Poznań",52.4206398,16.8903485
921337883,3,True,2200,szeregowiec,38.0,2,450.0,"Os. Batorego, Piątkowo, Poznań",52.4604254,16.923628
915411802,1,False,3200,szeregowiec,90.0,4,600.0,"osiedle Strzeszyn Grecki, Poznań",52.4587528,16.8508811
921331717,4,True,1900,blok,33.6,1,500.0,"ul. Czartoria, Centrum, Poznań",52.4079801,16.9428196
921329645,0,True,2500,blok,64.0,3,850.0,"os. Chrobrego, Poznań",52.4493473,16.9140898
896954709,2,True,3000,apartamentowiec,30.0,2,500.0,"Święty Wojciech 27, Poznań",52.412114,16.9324955
921313863,0,True,3200,blok,66.5,3,920.0,"ul. Mogileńska, Poznań",52.4102799,16.9914419
921312877,4,True,1800,blok,60.0,3,1000.0,"os. Armii Krajowej, Poznań",52.3800903,16.9514881
921311823,3,True,2500,blok,47.0,2,725.0,"ul. Bliźniąt, Chartowo, Poznań",52.3929411,16.9839267
921306555,1,True,1800,blok,28.0,1,557.0,"ul. Serbska 16d, Poznań",52.4285357,16.9543013
921306342,3,True,6000,apartamentowiec,66.0,3,980.0,"ul. Chwaliszewo, Poznań",52.4088225,16.9422181
899639244,3,True,2900,blok,54.0,3,647.0,"Osiedle Winiary, Poznań",52.4332801,16.9084419
921298736,4,True,2000,blok,44.0,2,570.0,"Chartowo, Poznań",52.3873827,16.9820374
921295379,2,False,3000,kamienica,85.0,2,80.0,"Poznań, centrum Poznania - Wilda",52.4093634,16.9317991
863017519,9,True,2100,blok,39.0,2,640.0,"ul. Bonin, Poznań",52.4306671,16.9074998
692345250,6,True,3400,apartamentowiec,48.0,2,750.0,"ul. Mostowa 23, Poznań",52.404452,16.9393509
901150071,5,True,3200,blok,43.0,2,450.0,"ul. Barańczaka 1A, Poznań",52.41546289999999,16.9046567
921264810,0,True,4600,apartamentowiec,60.0,2,1700.0,"Wojskowa City Park, Poznań",52.4003594,16.8935124
921262912,0,True,6000,apartamentowiec,100.0,4,900.0,"Szyperska, Poznań",52.4118257,16.9398604
757240480,2,False,2200,blok,44.0,2,465.0,"Poznań, ul. Raszyńska 14",52.3889436,16.8741738
921261654,0,True,7000,apartamentowiec,90.0,3,2500.0,"Grunwald, Wojskowa Street, Poznań",52.4018186,16.8926149
675705809,0,True,1500,szeregowiec,20.0,1,1.0,"Podolany, Poznań",52.4563192,16.8862122
921258250,3,True,2500,apartamentowiec,50.0,2,750.0,"ul. Wilczak, Poznań",52.430942,16.9521113
921262071,2,True,2300,blok,42.0,2,700.0,"ul. Głęboka, Wilda, Poznań",52.3966686,16.9255638
921252379,1,True,5700,apartamentowiec,62.0,2,940.0,"Poznań, Stare Miasto",52.4063604,16.925153
921253144,1,True,2300,blok,45.0,2,750.0,"ul. Jeleniogórska, Grunwald, Poznań",52.3926255,16.8461367
921248887,0,True,1900,blok,48.0,2,690.0,"os. Wichrowe Wzgórze, Poznań",52.4388497,16.9344897
921248921,4,True,2700,blok,44.0,2,650.0,"osiedle Górczyn, Poznań",52.3805449,16.8795487
908511404,2,False,1900,blok,44.0,2,700.0,"ul. Klonowa, Dębiec, Poznań",52.3707344,16.9066774
921246365,0,False,3500,blok,68.0,3,,"ul. Leśnych Skrzatów 21, Poznań",52.4103126,16.8439083
693822351,4,True,1450,kamienica,20.0,1,200.0,"Stare Miasto, Poznań",52.4063604,16.925153
921235290,0,True,2500,kamienica,45.0,2,450.0,"ulica Hetmańska, Grunwald, Łazarz, Poznań",52.3883562,16.8995375
805578482,3,True,2600,blok,62.0,2,730.0,"Poznań, ul. Za Groblą, Stare Miasto",52.4037241,16.9425823
921228432,11,True,1200,blok,10.0,4,,"os. Oświecenia 57, Rataje, Poznań",52.3904679,16.9581062
921218156,5,True,3000,blok,50.8,3,700.0,"ul. Katowicka 29, Poznań",52.39889789999999,16.9627455
