offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
923110395,3,True,4400,pozostale,82.0,4,,"ul. Czechowicka 9c, Wrocław",51.0827811,17.0843485
923109213,1,True,2600,blok,50.0,2,500.0,"ul. Gorlicka, Wrocław",51.1441781,17.1183903
777051668,0,False,2750,apartamentowiec,63.0,3,750.0,"ul. Centralna 18, Brochów, Wrocław",51.0610862,17.0819263
916495914,2,True,2500,blok,57.0,2,900.0,"Wrocław, ul. Zdrowa",51.1033271,17.0112328
923110553,3,True,3690,apartamentowiec,65.0,3,805.0,"Tarnogaj, Wrocław",51.0833068,17.0617559
923107297,4,True,3000,blok,55.0,2,500.0,"ulica Nyska, Tarnogaj, Wrocław",51.0854501,17.0531792
923110859,1,True,6000,apartamentowiec,65.0,3,725.0,"ul. Przystankowa, Krzyki, Wrocław",51.0695518,17.0360291
923110860,5,False,4900,pozostale,63.0,3,927.0,"Stawowa Apartments, Wrocław",51.1006451,17.0341143
923103214,3,True,2500,blok,46.0,2,800.0,"ul. Malachowskiego, Wrocław",51.0986663,17.0412842
923099636,4,True,3500,apartamentowiec,71.0,3,630.0,"Ogrody Grabiszyńskie, dzielnica Fabryczna, Wrocław",51.0930665,16.9802586
923098995,2,True,4900,blok,56.6,2,1000.0,"Angel Citi, Wrocław",51.1031303,17.0521086
923098308,3,False,3500,kamienica,91.0,3,880.0,"ulica Gajowa, Wrocław",51.0924032,17.0405996
923099045,3,True,2700,blok,40.0,2,600.0,"Planty Racławickie ul. Wichrowa, Wrocław",51.0783529,16.9880373
923097504,1,True,2500,blok,49.5,2,800.0,"Wrocław, ul. Drzewieckiego (Gadów Mały)",51.1240503,16.9693329
923096295,5,True,3200,apartamentowiec,48.0,3,940.0,"ulica Piękna, Wrocław",51.085004,17.0544712
828517577,2,True,2590,blok,48.0,2,550.0,"ul. Drabika, Krzyki, Wrocław",51.0586353,17.0527136
863467205,5,True,1650,apartamentowiec,12.25,1,600.0,"Wrocław, wybrzeże Ludwika Pasteura 18",51.113882,17.070474
923090665,2,False,3300,kamienica,49.23,2,400.0,"Wrocław, Wrocławskim Rynek",51.1106992,17.0323662
923088988,1,True,2950,apartamentowiec,63.0,2,650.0,"ul. Brylantowa 24a, Wrocław",51.0479624,17.0283961
909304887,7,True,2400,blok,40.0,2,50.0,"oś. Gaj, Wrocław",51.07832089999999,17.0475492
922318198,0,True,2100,blok,25.0,1,497.0,"ul. Powstańców Śląskich, Wrocław",51.0893253,17.0159794
895558994,1,True,3500,apartamentowiec,46.0,3,500.0,"ul. Braniborska, Wrocław",51.1113441,17.011501
922849920,1,True,2300,blok,36.0,2,450.0,"ul. Kołłątaja (Stare Miasto), Wrocław",51.1019699,17.0365226
923086685,5,True,2600,kamienica,40.0,2,600.0,"ul. pl. Uniwersytecki, Wrocław",51.1137826,17.0344225
923085148,3,True,2300,kamienica,25.0,1,500.0,"Wrocław, pl. Uniwersytecki",51.1137826,17.0344225
846775591,2,True,2650,apartamentowiec,50.0,2,750.0,"ul. Mosiężna, centrum, Wrocław",51.1011282,16.9990805
693284914,5,True,3000,apartamentowiec,46.0,2,650.0,"ul. Romana Dmowskiego, Wrocław",51.1169476,17.0215822
841921721,5,True,3900,blok,60.0,3,900.0,"ul. Szybka 1, Wrocław",51.101656,17.0545969
779823060,1,True,2700,blok,52.0,2,650.0,"Wrocław, ul. Piękna",51.085004,17.0544712
910337592,0,True,3500,pozostale,92.0,3,1500.0,"Śródmieście, Wrocław",51.1132425,17.0812736
885819190,3,True,2800,apartamentowiec,64.0,3,600.0,"ul. Pilczycka, Wrocław",51.1384231,16.9634519
923091071,4,True,3000,blok,54.0,2,720.0,"ulica Czysta, Wrocław",51.1034226,17.0329674
784801630,1,True,2700,blok,40.0,2,300.0,"Wrocław, ul. Idzikowskiego",51.1282644,16.9579455
923084636,10,True,2000,blok,30.0,1,400.0,"Sky Tower, Wrocław",51.0945733,17.0189505
811697195,1,True,2800,blok,40.5,2,550.0,"Olimpi Port, Wrocław",51.1112423,17.1237851
910318090,1,True,3200,blok,66.0,3,1200.0,"ul. Szkocka, Wrocław",51.1091479,16.963323
923081614,5,True,4800,apartamentowiec,100.0,4,1400.0,"ul. Pretficza 21, Krzyki, Wrocław",51.0915134,17.0096393
922694615,2,True,2000,apartamentowiec,28.0,1,280.0,"Mieszkanie w nowym osiedlu Mała Toskania, Wrocław",51.0662137,17.0556621
908279364,1,False,2700,apartamentowiec,45.0,2,750.0,"ulica Rybnicka, Krzyki, Wrocław",51.0807625,17.0854151
891993451,2,True,2800,blok,36.0,2,500.0,"ul. Teatralna, Wrocław",51.1052385,17.0354027
923075125,3,True,2000,blok,21.0,1,300.0,"Wrocław, ul. Górnicza",51.1368435,16.9577449
839492806,2,True,2600,blok,40.0,2,495.0,"okolica osiedla Olimpia Port, Wrocław",51.1080601,17.1217119
923074960,2,True,2300,blok,55.0,2,650.0,"ulica Poleska 37, Psie Pole, Wrocław",51.1441463,17.1256524
834314685,2,True,3700,apartamentowiec,100.0,3,1400.0,"ul. Chabrowa, Wysoka, Wrocław",51.0476418,17.0053352
923068255,2,True,1799,blok,21.0,1,450.0,"Wrocław, okolice RENOMY",51.1038569,17.0319662
882453994,2,True,3200,apartamentowiec,53.0,2,700.0,"Wrocław, ul. Przyjaźni | Belvedere Park",51.068061,17.003245
923065839,11,True,2140,blok,16.0,1,,"ul. Robotnicza 96, Wrocław",51.1126145,16.9953581
690378048,4,True,2850,apartamentowiec,49.0,2,570.0,"Wrocław, Krakowska 37",51.0922235,17.0609927
923065587,3,True,1700,kamienica,37.0,1,600.0,"Śródmieście, Wrocław",51.1132425,17.0812736
923065256,2,True,2500,apartamentowiec,33.0,1,600.0,"Wrocław, ul. Poniatowskiego",51.1213205,17.0433971
923063723,2,True,3800,apartamentowiec,58.0,2,800.0,"Wrocław, PL Jana Pawła II",51.1115591,17.0215827
923063639,4,True,3800,blok,54.0,3,800.0,"ul. Niedźwiedzia, Wrocław",51.123493,16.9960705
910267628,3,True,2500,kamienica,63.0,3,700.0,"ul. Nowowiejska, Plac Grunwaldzki, Wrocław",51.1205498,17.0551953
923061470,4,True,2100,kamienica,42.0,2,530.0,"ul. Kościuszki, Wrocław",51.1008268,17.0418116
900544538,2,True,1900,blok,30.0,1,400.0,"Wrocław, ul. Bolesława Prusa",51.1196553,17.0502771
923058844,11,True,2300,blok,40.0,2,550.0,"Wrocław, PLAC GRUNWALDZKI 8, WROCŁAW",51.1107067,17.0559581
923055322,4,True,1600,blok,40.0,2,,"ul. Głogowska, Wrocław",51.1174661,17.0031251
923057365,5,True,4799,blok,101.0,4,1350.0,"Wrocław, ul. Pretficza",51.0912869,17.008992
923056929,4,True,2800,apartamentowiec,40.0,2,700.0,"ul. Traugutta 74, Wrocław",51.103005,17.0511274
915377932,0,True,3100,blok,50.0,3,3100.0,"ul. Potokowa, Maślice, Wrocław",51.1596001,16.940672
923053251,10,True,2200,blok,23.0,1,450.0,"tuż obok Sky Tower, Wrocław",51.0945733,17.0189505
923053023,4,True,2000,blok,19.0,1,500.0,"ul. Kościelna 13, Wrocław (Klecina)",51.064189,16.9805127
923052566,2,True,5500,blok,82.0,4,1000.0,"ul. Młynarska, Nowe Miasto Różanka, Wrocław",51.1435653,17.0295326
923052722,1,True,2100,pozostale,25.0,1,300.0,"ulica Karola Olszewskiego, Wrocław",51.1021162,17.1041692
922823573,6,True,3110,blok,40.0,2,500.0,"Wrocław, ul. Jaworska 6",51.115153,16.9931037
923048079,3,True,2100,blok,25.0,1,,"ulica Sudecka, Wrocław",51.0803626,17.0160158
640965036,6,True,4600,kamienica,100.0,3,,"Wrocław, brak informacji",51.10929480000001,17.0386019
923047064,1,True,2600,blok,42.0,2,530.0,"ul. Krzycka 92D, Krzyki, Wrocław",51.0673752,16.988663
923046800,1,True,2300,pozostale,54.0,3,,"ulica Edwarda Dembowskiego, Wrocław",51.1063701,17.0969998
923046938,0,True,1950,blok,35.0,1,750.0,"ul. Podwale, Wrocław",51.1053249,17.0279527
923043923,1,True,2100,blok,19.0,1,500.0,"ul. Wałbrzyska 16A, Wrocław (Klecina)",51.06393360000001,16.9805529
923042504,3,True,2390,blok,23.0,1,270.0,"ul. Jaworska 6, Wrocław",51.115153,16.9931037
923040147,5,True,3390,blok,47.0,2,550.0,"Jaworska 6, Wrocław",51.115153,16.9931037
916641106,1,True,2600,apartamentowiec,47.0,2,700.0,"ul. Vespucciego, Wrocław",51.1074362,17.1242742
923042910,2,True,2980,blok,35.5,2,410.0,"Wrocław, ul. Jaworska 6",51.115153,16.9931037
915791074,2,False,2700,blok,70.0,3,800.0,"ulica Alfreda Jahna, Leśnica, Wrocław",51.1620459,16.8740066
909416638,3,True,1700,blok,28.0,1,382.0,"ul. Olszewskiego (BISKUPIN), Wrocław",51.1024371,17.102312
633102990,1,True,1850,apartamentowiec,16.0,1,100.0,"Wrocław, Robotnicza 96",51.1126145,16.9953581
579228661,,True,1950,pozostale,16.0,1,,"Wrocław, brak informacji o dokładnym adresie",51.10929480000001,17.0386019
